id,title,company,category,contract_type,contract_time,region,created,first_seen,last_seen,salary_min,salary_max,salary_mid
5821314442,Data Analyst,Goodlife Recruitment Solutions Ltd,it-jobs,permanent,full_time,North West England,2026-07-30 16:48:35+00,2026-07-31,2026-07-31,45000,45000,45000.000000000000
5821183026,Secondary SEMH Outreach Advisor,Supply Staff Limited,teaching-jobs,contract,,London,2026-07-30 15:11:54+00,2026-07-31,2026-07-31,111020,111020,111020.000000000000
5821154185,Secondary SEMH Outreach Advisor,Supply Staff Limited,teaching-jobs,contract,,London,2026-07-30 15:06:09+00,2026-07-31,2026-07-31,84500,111020,97760.000000000000
5821153515,Senior Planning & Data Analyst,Morgan Law,it-jobs,permanent,full_time,London,2026-07-30 15:04:49+00,2026-07-31,2026-07-31,43000,50000,46500.000000000000
5821152253,Commercial Financial Analyst,Ashley Kate HR & Finance,accounting-finance-jobs,,full_time,North West England,2026-07-30 15:03:40+00,2026-07-31,2026-07-31,37500,40000,38750.000000000000
5821149515,"SQL/Data Analyst (T-SQL, Azure Data Factory, Fabric, SSIS, ERP)",TXP Technology x People,it-jobs,contract,,West Midlands,2026-07-30 15:00:59+00,2026-07-31,2026-07-31,91000,104000,97500.000000000000
5821148678,Secondary SEMH Outreach Advisor,Supply Staff Limited,teaching-jobs,permanent,,London,2026-07-30 14:59:34+00,2026-07-31,2026-07-31,111020,111020,111020.000000000000
5821148656,Data Analyst Apprentice,Back TO Work,it-jobs,,full_time,North West England,2026-07-30 14:59:32+00,2026-07-31,2026-07-31,25800,25800,25800.000000000000
5821148351,Data Performance Manager,Acis Group Ltd,it-jobs,permanent,full_time,East Midlands,2026-07-30 14:58:52+00,2026-07-31,2026-07-31,40000,45000,42500.000000000000
5821148333,Senior Planning & Data Analyst,Morgan Law,it-jobs,permanent,full_time,London,2026-07-30 14:58:47+00,2026-07-31,2026-07-31,43000,50000,46500.000000000000
5821148323,Secondary SEMH Outreach Advisor,Supply Staff Limited,teaching-jobs,contract,,London,2026-07-30 14:58:44+00,2026-07-31,2026-07-31,84500,111020,97760.000000000000
5821148304,Data Analyst and Technical Support Coordinator,OnetoOne Personnel,it-jobs,permanent,full_time,Eastern England,2026-07-30 14:58:39+00,2026-07-31,2026-07-31,37000,43000,40000.000000000000
5821092171,"SQL/Data Analyst (T-SQL, Azure Data Factory, Fabric, SSIS, ERP)",TXP,it-jobs,contract,,West Midlands,2026-07-30 12:55:45+00,2026-07-31,2026-07-31,91000,104000,97500.000000000000
5821005636,Data Analyst,Catalyst,it-jobs,permanent,full_time,Northern Ireland,2026-07-30 11:33:49+00,2026-07-31,2026-07-31,50000,80000,65000.000000000000
5821005651,Data Analyst,NBI LLC,it-jobs,,full_time,West Midlands,2026-07-30 11:33:49+00,2026-07-31,2026-07-31,35000,50000,42500.000000000000
5821005611,SQL Developer / Data Analyst,Beagle Aircraft,it-jobs,,full_time,South West England,2026-07-30 11:33:48+00,2026-07-31,2026-07-31,23000,63000,43000.000000000000
5821005233,Data Analyst,VIQU IT,it-jobs,,full_time,Northern Ireland,2026-07-30 11:33:44+00,2026-07-31,2026-07-31,40000,50000,45000.000000000000
5821005098,Data Analyst,JIYU People Ltd,it-jobs,,full_time,South West England,2026-07-30 11:33:42+00,2026-07-31,2026-07-31,40000,50000,45000.000000000000
5821005129,Data Analyst / SQL Developer,Silcoms II Ltd,it-jobs,contract,full_time,North West England,2026-07-30 11:33:42+00,2026-07-31,2026-07-31,33000,43000,38000.000000000000
5821004493,SC - Data Analyst,Velocity Talent,it-jobs,permanent,full_time,Yorkshire And The Humber,2026-07-30 11:33:36+00,2026-07-31,2026-07-31,75000,85000,80000.000000000000
5821004492,Trainee Data Engineer,NEWTO TRAINING LIMITED,it-jobs,contract,,London,2026-07-30 11:33:36+00,2026-07-31,2026-07-31,40000,40000,40000.000000000000
5821003808,Data Analyst Placement Programme,Data Jobs at ITOL Recruit,it-jobs,,full_time,West Midlands,2026-07-30 11:33:28+00,2026-07-31,2026-07-31,30000,45000,37500.000000000000
5820807185,Customer Retention Strategist,Specsavers,it-jobs,permanent,full_time,South East England,2026-07-30 06:33:30+00,2026-07-31,2026-07-31,65000,65000,65000.000000000000
5820802552,Customer Retention Strategist,Specsavers,it-jobs,permanent,full_time,East Midlands,2026-07-30 06:30:30+00,2026-07-31,2026-07-31,65000,65000,65000.000000000000
5820801563,Customer Retention Strategist,Specsavers,it-jobs,permanent,full_time,Scotland,2026-07-30 06:29:30+00,2026-07-31,2026-07-31,65000,65000,65000.000000000000
5820422952,Data Analyst,Euro Car Parks,it-jobs,permanent,full_time,London,2026-07-30 00:51:19+00,2026-07-31,2026-07-31,100000,100000,100000.000000000000
5820419256,Data Analyst - Performance,Elevate Recruitment.,it-jobs,permanent,,London,2026-07-30 00:49:44+00,2026-07-31,2026-07-31,35000,35000,35000.000000000000
5820418826,Data Analyst,Catalyst,it-jobs,permanent,full_time,North East England,2026-07-30 00:47:39+00,2026-07-31,2026-07-31,80000,80000,80000.000000000000
5820418829,HR Data Analyst,Liberty Recruitment Group,it-jobs,,,South East England,2026-07-30 00:47:39+00,2026-07-31,2026-07-31,40000,40000,40000.000000000000
5820418690,Full Stack Developer,Oscar Associates  Limited,it-jobs,,,East Midlands,2026-07-30 00:47:09+00,2026-07-31,2026-07-31,45000,45000,45000.000000000000
5820418123,Senior AI Engineer,CarFinance 247,it-jobs,,,North West England,2026-07-30 00:44:56+00,2026-07-31,2026-07-31,80000,80000,80000.000000000000
5820373355,Trainee Data Engineer Programme No Experience Required,NEWTO TRAINING LIMITED,it-jobs,permanent,,Yorkshire And The Humber,2026-07-29 23:08:08+00,2026-07-31,2026-07-31,40000,40000,40000.000000000000
5820342708,Data Analyst,Elevate Recruitment Limited,it-jobs,permanent,full_time,London,2026-07-29 22:56:18+00,2026-07-31,2026-07-31,30000,39000,34500.000000000000
5820158303,Data Analyst,Catalyst,it-jobs,permanent,full_time,North East England,2026-07-29 20:55:12+00,2026-07-31,2026-07-31,50000,80000,65000.000000000000
5820008422,Data Analyst,UCL Partners,it-jobs,contract,full_time,London,2026-07-29 18:08:37+00,2026-07-31,2026-07-31,40000,52000,46000.000000000000
5819979704,Key Account Manager - Tesco Retail Media,Hackajob Ltd,sales-jobs,,,London,2026-07-29 16:50:40+00,2026-07-31,2026-07-31,100000,100000,100000.000000000000
5819979127,Data Operations Manager,Vitality Corporate Services Limited,it-jobs,,full_time,London,2026-07-29 16:50:06+00,2026-07-31,2026-07-31,75000,75000,75000.000000000000
5820123922,Graduate Data Consultant,Jackson Hogg,graduate-jobs,permanent,full_time,Yorkshire And The Humber,2026-07-29 18:53:01+00,2026-07-31,2026-07-31,25000,30000,27500.000000000000
5822400748,Principal Product Manager,Anson Mccade,it-jobs,permanent,,West Midlands,2026-07-31 15:14:11+00,2026-07-31,2026-07-31,90000,90000,90000.000000000000
5822390407,Data Engineer,Third Nexus Group Limited,it-jobs,permanent,full_time,London,2026-07-31 14:59:56+00,2026-07-31,2026-07-31,75000,100000,87500.000000000000
5821880721,Data Solution Architect,Experis,it-jobs,contract,,London,2026-07-31 03:11:38+00,2026-07-31,2026-07-31,260000,390000,325000.000000000000
5821880708,"Data Engineer (AWS) - 12-month FTC, Hybrid/London, Manchest",SmartSourcing PLC,it-jobs,contract,,North West England,2026-07-31 03:11:38+00,2026-07-31,2026-07-31,45000,45000,45000.000000000000
5821876514,Data Tech Lead,Morson Edge,it-jobs,permanent,,North West England,2026-07-31 03:10:39+00,2026-07-31,2026-07-31,85000,85000,85000.000000000000
5822289778,Lead Data Scientist,Hackajob Ltd,it-jobs,,full_time,North West England,2026-07-31 11:30:04+00,2026-07-31,2026-07-31,100000,100000,100000.000000000000
5822289741,Python Developer,Tria,it-jobs,,full_time,West Midlands,2026-07-31 11:30:04+00,2026-07-31,2026-07-31,45000,50000,47500.000000000000
5822289733,Junior Data Engineer,Jackson Hogg Ltd,it-jobs,,full_time,North East England,2026-07-31 11:30:04+00,2026-07-31,2026-07-31,30000,35000,32500.000000000000
5822289667,Senior Technical Product Manager,ST Selection,it-jobs,,full_time,West Midlands,2026-07-31 11:30:03+00,2026-07-31,2026-07-31,70000,75000,72500.000000000000
5822289462,Azure Data DevOps Engineer,Assura Protect,it-jobs,,full_time,London,2026-07-31 11:29:49+00,2026-07-31,2026-07-31,60000,95669,77834.500000000000
5822252503,Data Engineering Manager,Datatech Analytics,it-jobs,permanent,,London,2026-07-31 11:13:07+00,2026-07-31,2026-07-31,95000,95000,95000.000000000000
5822251766,Lead Product Manager,Anson Mccade,it-jobs,permanent,,West Midlands,2026-07-31 11:12:54+00,2026-07-31,2026-07-31,75000,75000,75000.000000000000
5822251771,Principal Product Manager,Anson Mccade,it-jobs,permanent,,Scotland,2026-07-31 11:12:54+00,2026-07-31,2026-07-31,90000,90000,90000.000000000000
5822251800,Lead Product Manager,Anson Mccade,it-jobs,permanent,,North West England,2026-07-31 11:12:54+00,2026-07-31,2026-07-31,75000,75000,75000.000000000000
5822251764,Lead Product Manager,Anson Mccade,it-jobs,permanent,,South West England,2026-07-31 11:12:54+00,2026-07-31,2026-07-31,75000,75000,75000.000000000000
5822251768,Lead Product Manager,Anson Mccade,it-jobs,permanent,,North East England,2026-07-31 11:12:54+00,2026-07-31,2026-07-31,75000,75000,75000.000000000000
5822251740,Principal Product Manager,Anson Mccade,it-jobs,permanent,,South West England,2026-07-31 11:12:53+00,2026-07-31,2026-07-31,90000,90000,90000.000000000000
5822251398,Systems Engineering Lead - Spartan Data Workstream,Hackajob Ltd,engineering-jobs,permanent,,North West England,2026-07-31 11:12:48+00,2026-07-31,2026-07-31,95000,95000,95000.000000000000
